pp,ap,mp,kp1,kp2
1,16,28,131,0
1,12,28,131,0
1,11,32,0,0
1,16,32,131,0
1,12,32,131,0
1,16,57,131,0
1,12,57,131,0
1,12,32,131,0
1,12,57,131,0
1,18,28,131,131
1,18,32,131,131
1,18,57,131,131
1,18,32,131,0
1,18,57,131,0
2,19,28,131,131
2,19,32,131,131
2,19,57,131,131
2,19,32,131,0
2,19,57,131,0
2,13,28,131,0
2,13,28,131,0
2,13,32,131,0
2,13,32,131,0
2,13,57,131,0
2,13,57,131,0
2,13,32,131,0
2,13,57,131,0
2,16,28,131,0
2,12,28,131,0
2,16,32,131,0
2,12,32,131,0
2,11,125,0,0
2,16,125,131,0
2,12,125,131,0
2,16,54,131,0
2,12,54,131,0
2,12,125,131,0
2,12,54,131,0
2,18,28,131,131
2,18,32,131,131
2,18,125,131,131
2,18,54,131,131
2,18,125,131,0
2,18,54,131,0
1,19,28,131,131
1,19,32,131,131
1,19,125,131,131
1,19,54,131,131
1,19,125,131,0
1,19,54,131,0
1,13,28,131,0
1,13,28,131,0
1,13,32,131,0
1,13,32,131,0
1,13,125,131,0
1,13,125,131,0
1,13,54,131,0
1,13,54,131,0
1,13,125,131,0
1,13,54,131,0
1,16,28,131,0
1,16,32,131,0
1,16,125,131,0
1,18,28,131,0
1,18,32,131,0
1,18,125,131,0
2,19,28,131,0
2,19,32,131,0
2,19,125,131,0
2,13,28,131,0
2,13,32,131,0
2,13,125,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
