pp,ap,mp,kp1,kp2
1,11,32,0,0
1,18,189,0,0
1,18,186,0,0
1,18,32,0,0
3,19,189,0,0
3,19,186,0,0
3,19,32,0,0
3,12,37,24,0
3,12,189,24,0
3,12,32,24,0
3,12,186,24,0
3,12,7,24,0
3,18,37,0,0
3,18,37,24,0
3,18,189,24,0
3,18,32,24,0
3,18,186,24,0
3,18,7,24,0
1,19,37,0,0
1,19,37,24,0
1,19,189,24,0
1,19,32,24,0
1,19,186,24,0
1,19,7,24,0
1,13,37,24,0
1,13,189,24,0
1,13,32,24,0
1,13,186,24,0
1,13,7,24,0
1,14,189,138,0
1,11,27,0,0
1,14,27,138,0
1,11,32,0,0
1,12,32,136,0
1,14,32,138,0
1,18,189,0,0
1,18,186,0,0
1,18,189,138,0
1,18,27,138,0
1,18,32,136,138
2,19,189,0,0
2,19,186,0,0
2,19,189,138,0
2,19,27,138,0
2,19,32,136,138
2,15,189,135,0
2,15,27,135,0
2,13,32,139,0
2,15,32,135,0
2,11,125,0,0
2,18,186,0,0
2,18,189,0,0
2,18,125,0,0
3,19,186,0,0
3,19,189,0,0
3,19,125,0,0
3,12,37,27,0
3,12,186,27,0
3,12,125,27,0
3,12,189,27,0
3,12,23,27,0
3,18,37,0,0
3,18,37,27,0
3,18,186,27,0
3,18,125,27,0
3,18,189,27,0
3,18,23,27,0
2,19,37,0,0
2,19,37,27,0
2,19,186,27,0
2,19,125,27,0
2,19,189,27,0
2,19,23,27,0
2,13,37,27,0
2,13,186,27,0
2,13,125,27,0
2,13,189,27,0
2,13,23,27,0
2,12,186,135,0
2,12,35,135,0
2,18,186,0,0
2,18,189,0,0
2,18,186,135,0
2,18,35,135,0
1,19,186,0,0
1,19,189,0,0
1,19,186,135,0
1,19,35,135,0
1,13,186,138,0
1,13,35,138,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
