pp,ap,mp,kp
A,new,N_A, 
A,send,ID_A, 
A,send,ID_B, 
A,send,N_A, 
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,N_A, 
S,new,N_S, 
S,encrypt,N_A,K_AS
S,encrypt,N_S,K_AS
S,encrypt,ID_B,K_AS
S,send,N_S, 
S,send,N_A,K_AS
S,send,N_S,K_AS
S,send,ID_B,K_AS
S,send,K_AB, 
A,receive,N_S, 
A,receive,N_A,K_AS
A,receive,N_S,K_AS
A,receive,ID_B,K_AS
A,receive,K_AB, 
A,decrypt,N_A,K_AS
A,decrypt,N_S,K_AS
A,decrypt,ID_B,K_AS
B,new,N_B, 
B,send,ID_B, 
B,send,ID_A, 
B,send,N_B, 
S,receive,ID_B, 
S,receive,ID_A, 
S,receive,N_B, 
S,new,N_S^', 
S,encrypt,N_B,K_AS
S,encrypt,N_S^',K_AS
S,encrypt,ID_A,K_AS
S,send,N_S^', 
S,send,N_B,K_AS
S,send,N_S^',K_AS
S,send,ID_A,K_AS
S,send,K_AB, 
B,receive,N_S^', 
B,receive,N_B,K_AS
B,receive,N_S^',K_AS
B,receive,ID_A,K_AS
B,receive,K_AB, 
