,pp,ap,mp,kp
0,A,hash,ID_A,hK_AS
1,A,hash,ID_B,hK_AS
2,A,new,N_A,
3,A,hash,N_A,hK_AS
4,A,new,N_A^',
5,A,send,ID_A,hK_AS
6,A,send,ID_B,hK_AS
7,A,send,N_A,hK_AS
8,A,send,N_A^',
9,B,receive,ID_A,hK_AS
10,B,receive,ID_B,hK_AS
11,B,receive,N_A,hK_AS
12,B,receive,N_A^',
13,B,hash,ID_B,hK_BS
14,B,hash,ID_A,hK_BS
15,B,new,N_B,
16,B,hash,N_B,hK_BS
17,B,new,N_B^',
18,B,send,ID_A,hK_AS
19,B,send,ID_B,hK_AS
20,B,send,N_A,hK_AS
21,B,send,ID_B,hK_BS
22,B,send,ID_A,hK_BS
23,B,send,N_B,hK_BS
24,B,send,N_B^',
25,S,receive,ID_A,hK_AS
26,S,receive,ID_B,hK_AS
27,S,receive,N_A,hK_AS
28,S,receive,ID_B,hK_BS
29,S,receive,ID_A,hK_BS
30,S,receive,N_B,hK_BS
31,S,receive,N_B^',
32,S,decrypt,ID_A,hK_AS
33,S,decrypt,ID_B,hK_AS
34,S,decrypt,N_A,hK_AS
35,S,decrypt,ID_B,hK_BS
36,S,decrypt,ID_A,hK_BS
37,S,decrypt,N_B,hK_BS
38,S,hash,K_AS,
39,S,hash,N_A,
40,S,hash,K_BS,
41,S,hash,N_B,
42,S,new,N_S,
43,S,send,K_AB,
44,S,send,K_AS,
45,S,send,N_A,
46,S,send,K_AB,
47,S,send,K_BS,
48,S,send,N_B,
49,S,send,N_S,
50,B,receive,K_AB,
51,B,receive,K_AS,
52,B,receive,N_A,
53,B,receive,K_AB,
54,B,receive,K_BS,
55,B,receive,N_B,
56,B,receive,N_S,
57,B,hash,K_AS,
58,B,hash,N_A,
59,B,send,K_AB,
60,B,send,K_AS,
61,B,send,N_A,
62,A,receive,K_AB,
63,A,receive,K_AS,
64,A,receive,N_A,
