,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,ID_B,
2,B,receive,ID_A,
3,B,receive,ID_B,
4,B,encrypt,ID_B,K_BS
5,B,encrypt,ID_S,K_BS
6,B,encrypt,ID_B,K_BS
7,B,encrypt,a^y,K_BS
8,B,encrypt,ID_A,K_BS
9,B,send,ID_A,
10,B,send,ID_B,
11,B,send,ID_B,K_BS
12,B,send,ID_S,K_BS
13,B,send,ID_B,K_BS
14,B,send,a^y,K_BS
15,B,send,ID_A,K_BS
16,S,receive,ID_A,
17,S,receive,ID_B,
18,S,receive,ID_B,K_BS
19,S,receive,ID_S,K_BS
20,S,receive,ID_B,K_BS
21,S,receive,a^y,K_BS
22,S,receive,ID_A,K_BS
23,S,decrypt,ID_B,K_BS
24,S,decrypt,ID_S,K_BS
25,S,decrypt,ID_B,K_BS
26,S,decrypt,a^y,K_BS
27,S,decrypt,ID_A,K_BS
28,S,encrypt,ID_S,K_AS
29,S,encrypt,ID_B,K_AS
30,S,encrypt,ID_B,K_AS
31,S,encrypt,a^y,K_AS
32,S,encrypt,ID_A,K_AS
33,S,send,ID_S,K_AS
34,S,send,ID_B,K_AS K_AS
35,S,send,a^y,K_AS
36,S,send,ID_A,K_AS
37,A,receive,ID_S,K_AS
38,A,receive,ID_B,K_AS K_AS
39,A,receive,a^y,K_AS
40,A,receive,ID_A,K_AS
41,A,decrypt,ID_S,K_AS
42,A,decrypt,ID_B,K_AS
43,A,decrypt,ID_B,K_AS
44,A,decrypt,a^y,K_AS
45,A,decrypt,ID_A,K_AS
46,A,encrypt,ID_A,K_AS
47,A,encrypt,ID_S,K_AS
48,A,encrypt,ID_A,K_AS
49,A,encrypt,a^x,K_AS
50,A,encrypt,ID_B,K_AS
51,A,encrypt,ID_A,K_AB
52,A,encrypt,ID_B,K_AB
53,A,send,ID_A,K_AS
54,A,send,ID_S,K_AS
55,A,send,ID_A,K_AS
56,A,send,a^x,K_AS
57,A,send,ID_B,K_AS
58,A,send,ID_A,K_AB
59,A,send,ID_B,K_AB
60,S,receive,ID_A,K_AS
61,S,receive,ID_S,K_AS
62,S,receive,ID_A,K_AS
63,S,receive,a^x,K_AS
64,S,receive,ID_B,K_AS
65,S,receive,ID_A,K_AB
66,S,receive,ID_B,K_AB
67,S,decrypt,ID_A,K_AS
68,S,decrypt,ID_S,K_AS
69,S,decrypt,ID_A,K_AS
70,S,decrypt,a^x,K_AS
71,S,decrypt,ID_B,K_AS
72,S,encrypt,ID_S,K_BS
73,S,encrypt,ID_A,K_BS
74,S,encrypt,ID_A,K_BS
75,S,encrypt,a^x,K_BS
76,S,encrypt,ID_B,K_BS
77,S,encrypt,ID_A,K_AB
78,S,encrypt,ID_B,K_AB
79,S,send,ID_S,K_BS
80,S,send,ID_A,K_BS K_BS
81,S,send,a^x,K_BS
82,S,send,ID_B,K_BS
83,S,send,ID_A,K_AB
84,S,send,ID_B,K_AB
85,B,receive,ID_S,K_BS
86,B,receive,ID_A,K_BS K_BS
87,B,receive,a^x,K_BS
88,B,receive,ID_B,K_BS
89,B,receive,ID_A,K_AB
90,B,receive,ID_B,K_AB
91,B,decrypt,ID_S,K_BS
92,B,decrypt,ID_A,K_BS
93,B,decrypt,ID_A,K_BS
94,B,decrypt,a^x,K_BS
95,B,decrypt,ID_B,K_BS
96,B,decrypt,ID_A,K_AB
97,B,decrypt,ID_B,K_AB
98,B,encrypt,ID_B,K_AB
99,B,encrypt,ID_A,K_AB
100,B,send,ID_B,K_AB
101,B,send,ID_A,K_AB
102,A,receive,ID_B,K_AB
103,A,receive,ID_A,K_AB
104,A,decrypt,ID_B,K_AB
105,A,decrypt,ID_A,K_AB
