pp,ap,mp,kp
A,new,T_A, 
A,sign,T_A,Pri_A
A,new,N_A, 
A,sign,N_A,Pri_A
A,sign,ID_B,Pri_A
A,encrypt,a^x,Pub_B
A,sign,a^x,Pri_A
A,send,ID_A, 
A,send,T_A,Pri_A
A,send,N_A,Pri_A
A,send,ID_B,Pri_A
A,send,a^x,Pub_B Pri_A
B,receive,ID_A, 
B,receive,T_A,Pri_A
B,receive,N_A,Pri_A
B,receive,ID_B,Pri_A
B,receive,a^x,Pub_B Pri_A
B,verify,T_A,Pub_A
B,verify,N_A,Pub_A
B,verify,ID_B,Pub_A
B,decrypt,a^x,Pri_B
B,verify,a^x,Pub_A
B,new,T_B, 
B,sign,T_B,Pri_B
B,sign,N_A,Pri_B
B,new,N_B, 
B,sign,N_B,Pri_B
B,sign,ID_A,Pri_B
B,encrypt,a^y,Pub_A
B,sign,a^y,Pri_B
B,send,ID_B, 
B,send,T_B,Pri_B
B,send,N_A,Pri_B
B,send,N_B,Pri_B
B,send,ID_A,Pri_B
B,send,a^y,Pub_A Pri_B
A,receive,ID_B, 
A,receive,T_B,Pri_B
A,receive,N_A,Pri_B
A,receive,N_B,Pri_B
A,receive,ID_A,Pri_B
A,receive,a^y,Pub_A Pri_B
A,verify,T_B,Pub_B
A,verify,N_A,Pub_B
A,verify,N_B,Pub_B
A,verify,ID_A,Pub_B
A,decrypt,a^y,Pri_A
A,verify,a^y,Pub_B
A,sign,N_B,Pri_A
A,send,N_B,Pri_A
B,receive,N_B,Pri_A
B,verify,N_B,Pub_A
