pp,ap,mp,kp
A,send,ID_A, 
A,send,ID_B, 
B,receive,ID_A, 
B,receive,ID_B, 
B,hash,ID_B, 
B,hash,ID_A, 
B,hash,K_AB, 
B,send,ID_B, 
B,send,ID_A, 
B,send,ID_B, 
B,send,ID_A, 
B,send,K_AB, 
A,receive,ID_B, 
A,receive,ID_A, 
A,receive,ID_B, 
A,receive,ID_A, 
A,receive,K_AB, 
A,encrypt,ID_B,K_AB
A,new,T_A, 
A,encrypt,T_A,K_AB
A,send,ID_A, 
A,send,ID_B, 
A,send,ID_B,K_AB
A,send,T_A,K_AB
B,receive,ID_A, 
B,receive,ID_B, 
B,receive,ID_B,K_AB
B,receive,T_A,K_AB
B,decrypt,ID_B,K_AB
B,decrypt,T_A,K_AB
B,encrypt,ID_A,K_AB
B,encrypt,T_A+1,K_AB
B,send,ID_B, 
B,send,ID_A, 
B,send,ID_A,K_AB
B,send,T_A+1,K_AB
A,receive,ID_B, 
A,receive,ID_A, 
A,receive,ID_A,K_AB
A,receive,T_A+1,K_AB
A,decrypt,ID_A,K_AB
A,decrypt,T_A+1,K_AB
