,pp,ap,mp,kp
0,A,send,ID_A,
1,B,receive,ID_A,
2,B,send,ID_A,
3,B,send,ID_B,
4,S,receive,ID_A,
5,S,receive,ID_B,
6,S,encrypt,ID_S,K_BS
7,S,encrypt,ID_A,K_BS
8,S,encrypt,ID_A,K_BS
9,S,encrypt,K_AB,K_BS
10,S,encrypt,ID_B,K_BS
11,S,send,ID_S,K_BS
12,S,send,ID_A,K_BS K_BS
13,S,send,K_AB,K_BS
14,S,send,ID_B,K_BS
15,B,receive,ID_S,K_BS
16,B,receive,ID_A,K_BS K_BS
17,B,receive,K_AB,K_BS
18,B,receive,ID_B,K_BS
19,B,decrypt,ID_S,K_BS
20,B,decrypt,ID_A,K_BS
21,B,decrypt,ID_A,K_BS
22,B,decrypt,K_AB,K_BS
23,B,decrypt,ID_B,K_BS
24,S,encrypt,ID_S,K_AS
25,S,encrypt,ID_A,K_AS
26,S,encrypt,ID_A,K_AS
27,S,encrypt,K_AB,K_AS
28,S,encrypt,ID_B,K_AS
29,S,send,ID_S,K_AS
30,S,send,ID_A,K_AS
31,S,send,ID_A,K_AS
32,S,send,K_AB,K_AS
33,S,send,ID_B,K_AS
34,A,receive,ID_S,K_AS
35,A,receive,ID_A,K_AS
36,A,receive,ID_A,K_AS
37,A,receive,K_AB,K_AS
38,A,receive,ID_B,K_AS
39,A,decrypt,ID_S,K_AS
40,A,decrypt,ID_A,K_AS
41,A,decrypt,ID_A,K_AS
42,A,decrypt,K_AB,K_AS
43,A,decrypt,ID_B,K_AS
44,A,encrypt,ID_B,K_AB
45,A,encrypt,ID_A,K_AB
46,A,send,ID_B,K_AB
47,A,send,ID_A,K_AB
48,B,receive,ID_B,K_AB
49,B,receive,ID_A,K_AB
50,B,decrypt,ID_B,K_AB
51,B,decrypt,ID_A,K_AB
52,B,encrypt,ID_A,K_AB
53,B,encrypt,ID_B,K_AB
54,B,send,ID_A,K_AB
55,B,send,ID_B,K_AB
56,A,receive,ID_A,K_AB
57,A,receive,ID_B,K_AB
58,A,decrypt,ID_A,K_AB
59,A,decrypt,ID_B,K_AB
