pp,ap,mp,kp
A,sign,ID_A,Pri_A
A,sign,ID_B,Pri_A
A,new,T_A, 
A,sign,T_A,Pri_A
A,send,ID_A, 
A,send,Cert_A, 
A,send,ID_A,Pri_A
A,send,ID_B,Pri_A
A,send,T_A,Pri_A
B,receive,ID_A, 
B,receive,Cert_A, 
B,receive,ID_A,Pri_A
B,receive,ID_B,Pri_A
B,receive,T_A,Pri_A
B,verify,ID_A,Pub_A
B,verify,ID_B,Pub_A
B,verify,T_A,Pub_A
B,encrypt,K_AB,Pub_A
B,sign,K_AB,Pri_B
B,encrypt,K_AB,Pub_A
B,sign,ID_A,Pri_B
B,encrypt,ID_A,Pub_A
B,sign,ID_B,Pri_B
B,encrypt,ID_B,Pub_A
B,new,T_B, 
B,sign,T_B,Pri_B
B,encrypt,T_B,Pub_A
B,encrypt,T_B,K_AB
B,encrypt,ID_A,K_AB
B,send,K_AB,Pub_A
B,send,K_AB,Pri_B Pub_A
B,send,ID_A,Pri_B Pub_A
B,send,ID_B,Pri_B Pub_A
B,send,T_B,Pri_B Pub_A
B,send,T_B,K_AB
B,send,ID_A,K_AB
B,send,Cert_B, 
A,receive,K_AB,Pub_A
A,receive,K_AB,Pri_B Pub_A
A,receive,ID_A,Pri_B Pub_A
A,receive,ID_B,Pri_B Pub_A
A,receive,T_B,Pri_B Pub_A
A,receive,T_B,K_AB
A,receive,ID_A,K_AB
A,receive,Cert_B, 
A,decrypt,K_AB,Pri_A
A,verify,K_AB,Pub_B
A,decrypt,K_AB,Pri_A
A,verify,ID_A,Pub_B
A,decrypt,ID_A,Pri_A
A,verify,ID_B,Pub_B
A,decrypt,ID_B,Pri_A
A,verify,T_B,Pub_B
A,decrypt,T_B,Pri_A
A,decrypt,T_B,K_AB
A,decrypt,ID_A,K_AB
