,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,N_A,
4,A,send,N_A^',
5,B,receive,ID_A,
6,B,receive,N_A,
7,B,receive,N_A^',
8,B,encrypt,ID_A,K_BS
9,B,encrypt,N_A,K_BS
10,B,new,T_B,
11,B,encrypt,T_B,K_BS
12,B,new,N_B,
13,B,new,N_B^',
14,B,send,ID_B,
15,B,send,ID_A,K_BS
16,B,send,N_A,K_BS
17,B,send,T_B,K_BS
18,B,send,N_B,
19,B,send,N_B^',
20,S,receive,ID_B,
21,S,receive,ID_A,K_BS
22,S,receive,N_A,K_BS
23,S,receive,T_B,K_BS
24,S,receive,N_B,
25,S,receive,N_B^',
26,S,decrypt,ID_A,K_BS
27,S,decrypt,N_A,K_BS
28,S,decrypt,T_B,K_BS
29,S,encrypt,ID_B,K_AS
30,S,encrypt,N_A,K_AS
31,S,encrypt,K_AB,K_AS
32,S,encrypt,T_B,K_AS
33,S,encrypt,ID_A,K_BS
34,S,encrypt,K_AB,K_BS
35,S,encrypt,T_B,K_BS
36,S,new,N_S,
37,S,send,ID_B,K_AS
38,S,send,N_A,K_AS
39,S,send,K_AB,K_AS
40,S,send,T_B,K_AS
41,S,send,ID_A,K_BS
42,S,send,K_AB,K_BS
43,S,send,T_B,K_BS
44,S,send,N_B,
45,S,send,N_S,
46,A,receive,ID_B,K_AS
47,A,receive,N_A,K_AS
48,A,receive,K_AB,K_AS
49,A,receive,T_B,K_AS
50,A,receive,ID_A,K_BS
51,A,receive,K_AB,K_BS
52,A,receive,T_B,K_BS
53,A,receive,N_B,
54,A,receive,N_S,
55,A,decrypt,ID_B,K_AS
56,A,decrypt,N_A,K_AS
57,A,decrypt,K_AB,K_AS
58,A,decrypt,T_B,K_AS
59,A,encrypt,ID_A,K_BS
60,A,encrypt,K_AB,K_BS
61,A,encrypt,T_B,K_BS
62,A,new,N_B,
63,A,send,ID_A,K_BS
64,A,send,K_AB,K_BS
65,A,send,T_B,K_BS
66,A,send,N_B,
67,B,receive,ID_A,K_BS
68,B,receive,K_AB,K_BS
69,B,receive,T_B,K_BS
70,B,receive,N_B,
71,B,decrypt,ID_A,K_BS
72,B,decrypt,K_AB,K_BS
73,B,decrypt,T_B,K_BS
