,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,ID_A,
2,A,send,N_A,
3,B,receive,ID_A,
4,B,receive,N_A,
5,B,new,N_B,
6,B,encrypt,ID_A,K_BS
7,B,encrypt,N_A,K_BS
8,B,send,ID_B,
9,B,send,N_B,
10,B,send,ID_A,K_BS
11,B,send,N_A,K_BS
12,S,receive,ID_B,
13,S,receive,N_B,
14,S,receive,ID_A,K_BS
15,S,receive,N_A,K_BS
16,S,decrypt,ID_A,K_BS
17,S,decrypt,N_A,K_BS
18,S,encrypt,ID_B,K_AS
19,S,encrypt,K_AB,K_AS
20,S,encrypt,N_A,K_AS
21,S,encrypt,ID_A,K_BS
22,S,encrypt,ID_B,K_BS
23,S,encrypt,K_AB,K_BS
24,S,send,N_B,
25,S,send,ID_B,K_AS
26,S,send,K_AB,K_AS
27,S,send,N_A,K_AS
28,S,send,ID_A,K_BS
29,S,send,ID_B,K_BS
30,S,send,K_AB,K_BS
31,A,receive,N_B,
32,A,receive,ID_B,K_AS
33,A,receive,K_AB,K_AS
34,A,receive,N_A,K_AS
35,A,receive,ID_A,K_BS
36,A,receive,ID_B,K_BS
37,A,receive,K_AB,K_BS
38,A,decrypt,ID_B,K_AS
39,A,decrypt,K_AB,K_AS
40,A,decrypt,N_A,K_AS
41,A,encrypt,ID_A,K_BS
42,A,encrypt,ID_B,K_BS
43,A,encrypt,K_AB,K_BS
44,A,new,E_(K_AB)N_B,
45,A,send,ID_A,K_BS
46,A,send,ID_B,K_BS
47,A,send,K_AB,K_BS
48,A,send,E_(K_AB)N_B,
49,B,receive,ID_A,K_BS
50,B,receive,ID_B,K_BS
51,B,receive,K_AB,K_BS
52,B,receive,E_(K_AB)N_B,
53,B,decrypt,ID_A,K_BS
54,B,decrypt,ID_B,K_BS
55,B,decrypt,K_AB,K_BS
