,pp,ap,mp,kp
0,A,new,T_A,
1,A,new,N_A,
2,A,sign,ID_B,Pri_A
3,A,sign,T_A,Pri_A
4,A,sign,N_A,Pri_A
5,A,new,N_A^',
6,A,send,ID_A,
7,A,send,ID_B,
8,A,send,T_A,
9,A,send,N_A,
10,A,send,ID_B,Pri_A
11,A,send,T_A,Pri_A
12,A,send,N_A,Pri_A
13,A,send,N_A^',
14,B,receive,ID_A,
15,B,receive,ID_B,
16,B,receive,T_A,
17,B,receive,N_A,
18,B,receive,ID_B,Pri_A
19,B,receive,T_A,Pri_A
20,B,receive,N_A,Pri_A
21,B,receive,N_A^',
22,B,verify,ID_B,Pub_A
23,B,verify,T_A,Pub_A
24,B,verify,N_A,Pub_A
25,B,encrypt,ID_A,Pub_B
26,B,encrypt,N_A,Pub_B
27,B,send,ID_B,
28,B,send,ID_A,
29,B,send,N_A,
30,B,send,ID_A,Pub_B
31,B,send,N_A,Pub_B
32,A,receive,ID_B,
33,A,receive,ID_A,
34,A,receive,N_A,
35,A,receive,ID_A,Pub_B
36,A,receive,N_A,Pub_B
