pp,ap,mp,kp
A,encrypt,ID_A,Password_A
A,encrypt,ID_B,Password_A
A,encrypt,a^x,Password_A
A,send,ID_A,Password_A
A,send,ID_B,Password_A
A,send,a^x,Password_A
B,receive,ID_A,Password_A
B,receive,ID_B,Password_A
B,receive,a^x,Password_A
B,hash,ID_A, 
B,hash,ID_B, 
B,encrypt,ID_B,Password_A
B,hash,ID_B, 
B,encrypt,a^x,Password_A
B,hash,a^x, 
B,hash,a^y, 
B,hash,K_AB, 
B,hash,Password_A, 
B,send,a^y, 
B,send,ID_A, 
B,send,ID_B, 
B,send,ID_B,Password_A
B,send,a^x,Password_A
B,send,a^y, 
B,send,K_AB, 
B,send,Password_A, 
A,receive,a^y, 
A,receive,ID_A, 
A,receive,ID_B, 
A,receive,ID_B,Password_A
A,receive,a^x,Password_A
A,receive,a^y, 
A,receive,K_AB, 
A,receive,Password_A, 
A,hash,ID_A, 
A,hash,ID_B, 
A,encrypt,ID_A,Password_A
A,hash,ID_A, 
A,encrypt,a^x,Password_A
A,hash,a^x, 
A,hash,a^y, 
A,hash,K_AB, 
A,hash,Password_A, 
A,send,ID_A, 
A,send,ID_B, 
A,send,ID_A,Password_A
A,send,a^x,Password_A
A,send,a^y, 
A,send,K_AB, 
A,send,Password_A, 
B,receive,ID_A, 
B,receive,ID_B, 
B,receive,ID_A,Password_A
B,receive,a^x,Password_A
B,receive,a^y, 
B,receive,K_AB, 
B,receive,Password_A, 
