,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,N_A,
2,B,receive,N_A,
3,B,new,N_B,
4,B,encrypt,N_B,K_BS
5,B,hash,ID_B,
6,B,encrypt,ID_B,K_BS
7,B,hash,ID_A,
8,B,encrypt,ID_A,K_BS
9,B,hash,N_A,
10,B,encrypt,N_A,K_BS
11,B,hash,N_B,
12,B,encrypt,N_B,K_BS
13,B,send,P_N,
14,B,send,N_B,K_BS
15,B,send,ID_B,K_BS
16,B,send,ID_A,K_BS
17,B,send,N_A,K_BS
18,B,send,N_B,K_BS
19,A,receive,P_N,
20,A,receive,N_B,K_BS
21,A,receive,ID_B,K_BS
22,A,receive,ID_A,K_BS
23,A,receive,N_A,K_BS
24,A,receive,N_B,K_BS
25,A,encrypt,N_B,K_BS
26,A,hash,ID_B,
27,A,encrypt,ID_B,K_BS
28,A,hash,ID_A,
29,A,encrypt,ID_A,K_BS
30,A,hash,N_A,
31,A,encrypt,N_A,K_BS
32,A,hash,N_B,
33,A,encrypt,N_B,K_BS
34,A,hash,ID_A,hK_AS
35,A,hash,ID_B,hK_AS
36,A,hash,N_A,hK_AS
37,A,hash,P_N,hK_AS
38,A,send,P_N,
39,A,send,N_B,K_BS
40,A,send,ID_B,K_BS
41,A,send,ID_A,K_BS
42,A,send,N_A,K_BS
43,A,send,N_B,K_BS
44,A,send,N_A,
45,A,send,ID_A,hK_AS
46,A,send,ID_B,hK_AS
47,A,send,N_A,hK_AS
48,A,send,P_N,hK_AS
49,S,receive,P_N,
50,S,receive,N_B,K_BS
51,S,receive,ID_B,K_BS
52,S,receive,ID_A,K_BS
53,S,receive,N_A,K_BS
54,S,receive,N_B,K_BS
55,S,receive,N_A,
56,S,receive,ID_A,hK_AS
57,S,receive,ID_B,hK_AS
58,S,receive,N_A,hK_AS
59,S,receive,P_N,hK_AS
60,S,decrypt,N_B,K_BS
61,S,decrypt,ID_B,K_BS
62,S,decrypt,ID_A,K_BS
63,S,decrypt,N_A,K_BS
64,S,decrypt,N_B,K_BS
65,S,decrypt,ID_A,hK_AS
66,S,decrypt,ID_B,hK_AS
67,S,decrypt,N_A,hK_AS
68,S,decrypt,P_N,hK_AS
69,S,encrypt,ID_B,K_BS
70,S,encrypt,ID_A,K_BS
71,S,encrypt,N_B+1,K_BS
72,S,hash,ID_A,hK_AS
73,S,hash,ID_B,hK_AS
74,S,hash,N_A+1,hK_AS
75,S,send,ID_B,K_BS
76,S,send,ID_A,K_BS
77,S,send,N_B+1,K_BS
78,S,send,ID_A,hK_AS
79,S,send,ID_B,hK_AS
80,S,send,N_A+1,hK_AS
81,S,send,ID_S,
82,A,receive,ID_B,K_BS
83,A,receive,ID_A,K_BS
84,A,receive,N_B+1,K_BS
85,A,receive,ID_A,hK_AS
86,A,receive,ID_B,hK_AS
87,A,receive,N_A+1,hK_AS
88,A,receive,ID_S,
89,A,decrypt,ID_A,hK_AS
90,A,decrypt,ID_B,hK_AS
91,A,decrypt,N_A+1,hK_AS
92,A,encrypt,ID_B,K_BS
93,A,encrypt,ID_A,K_BS
94,A,encrypt,N_B+1,K_BS
95,A,send,ID_B,K_BS
96,A,send,ID_A,K_BS
97,A,send,N_B+1,K_BS
98,B,receive,ID_B,K_BS
99,B,receive,ID_A,K_BS
100,B,receive,N_B+1,K_BS
101,B,decrypt,ID_B,K_BS
102,B,decrypt,ID_A,K_BS
103,B,decrypt,N_B+1,K_BS
