,pp,ap,mp,kp
0,B,encrypt,ID_B,Password_B
1,B,encrypt,ID_A,Password_B
2,B,new,N_B,
3,B,encrypt,N_B,Password_B
4,B,encrypt,a^y,Password_B
5,B,send,ID_B,Password_B Pub_S
6,B,send,ID_A,Password_B Pub_S
7,B,send,N_B,Password_B Pub_S
8,B,send,a^y,Password_B Pub_S
9,B,send,K_BS,Pub_S
10,B,send,N_B,
11,B,send,a^y,
12,A,receive,ID_B,Password_B Pub_S
13,A,receive,ID_A,Password_B Pub_S
14,A,receive,N_B,Password_B Pub_S
15,A,receive,a^y,Password_B Pub_S
16,A,receive,K_BS,Pub_S
17,A,receive,N_B,
18,A,receive,a^y,
19,A,encrypt,ID_B,Pub_S
20,A,encrypt,ID_A,Pub_S
21,A,encrypt,N_B,Pub_S
22,A,encrypt,a^y,Pub_S
23,A,encrypt,K_BS,Pub_S
24,A,encrypt,ID_A,Password_A
25,A,encrypt,ID_A,Pub_S
26,A,encrypt,ID_B,Password_A
27,A,encrypt,ID_B,Pub_S
28,A,new,N_A,
29,A,encrypt,N_A,Password_A
30,A,encrypt,N_A,Pub_S
31,A,encrypt,a^x,Password_A
32,A,encrypt,a^x,Pub_S
33,A,encrypt,K_AS,Pub_S
34,A,encrypt,ID_B,K_AB
35,A,new,N_A^',
36,A,encrypt,N_A^',K_AB
37,A,send,ID_B,Password_B Pub_S
38,A,send,ID_A,Password_B Pub_S
39,A,send,N_B,Password_B Pub_S
40,A,send,a^y,Password_B Pub_S
41,A,send,K_BS,Pub_S
42,A,send,ID_A,Password_A Pub_S
43,A,send,ID_B,Password_A Pub_S
44,A,send,N_A,Password_A Pub_S
45,A,send,a^x,Password_A Pub_S
46,A,send,K_AS,Pub_S
47,A,send,N_A,
48,A,send,a^x,
49,A,send,ID_B,K_AB
50,A,send,N_A^',K_AB
51,S,receive,ID_B,Password_B Pub_S
52,S,receive,ID_A,Password_B Pub_S
53,S,receive,N_B,Password_B Pub_S
54,S,receive,a^y,Password_B Pub_S
55,S,receive,K_BS,Pub_S
56,S,receive,ID_A,Password_A Pub_S
57,S,receive,ID_B,Password_A Pub_S
58,S,receive,N_A,Password_A Pub_S
59,S,receive,a^x,Password_A Pub_S
60,S,receive,K_AS,Pub_S
61,S,receive,N_A,
62,S,receive,a^x,
63,S,receive,ID_B,K_AB
64,S,receive,N_A^',K_AB
65,S,decrypt,ID_B,Pri_S
66,S,decrypt,ID_A,Pri_S
67,S,decrypt,N_B,Pri_S
68,S,decrypt,a^y,Pri_S
69,S,decrypt,K_BS,Pri_S
70,S,decrypt,ID_A,Pri_S
71,S,decrypt,ID_B,Pri_S
72,S,decrypt,N_A,Pri_S
73,S,decrypt,a^x,Pri_S
74,S,decrypt,K_AS,Pri_S
75,S,encrypt,ID_A,K_BS
76,S,encrypt,N_A,K_BS
77,S,encrypt,a^x,K_BS
78,S,encrypt,ID_B,K_AS
79,S,encrypt,N_B,K_AS
80,S,encrypt,a^y,K_AS
81,S,encrypt,ID_B,K_AB
82,S,encrypt,N_A^',K_AB
83,S,send,ID_A,K_BS
84,S,send,N_A,K_BS
85,S,send,a^x,K_BS
86,S,send,ID_B,K_AS
87,S,send,N_B,K_AS
88,S,send,a^y,K_AS
89,S,send,ID_B,K_AB
90,S,send,N_A^',K_AB
91,B,receive,ID_A,K_BS
92,B,receive,N_A,K_BS
93,B,receive,a^x,K_BS
94,B,receive,ID_B,K_AS
95,B,receive,N_B,K_AS
96,B,receive,a^y,K_AS
97,B,receive,ID_B,K_AB
98,B,receive,N_A^',K_AB
99,B,decrypt,ID_A,K_BS
100,B,decrypt,N_A,K_BS
101,B,decrypt,a^x,K_BS
102,B,decrypt,ID_B,K_AB
103,B,decrypt,N_A^',K_AB
104,B,encrypt,ID_B,K_AS
105,B,new,N_B^',
106,B,encrypt,N_B^',K_AS
107,B,encrypt,a^y,K_AS
108,B,encrypt,ID_A,K_AB
109,B,encrypt,N_B^'+1,K_AB
110,B,send,ID_B,K_AS
111,B,send,N_B^',K_AS
112,B,send,a^y,K_AS
113,B,send,ID_A,K_AB
114,B,send,N_B^'+1,K_AB
115,A,receive,ID_B,K_AS
116,A,receive,N_B^',K_AS
117,A,receive,a^y,K_AS
118,A,receive,ID_A,K_AB
119,A,receive,N_B^'+1,K_AB
120,A,decrypt,ID_B,K_AS
121,A,decrypt,N_B^',K_AS
122,A,decrypt,a^y,K_AS
123,A,decrypt,ID_A,K_AB
124,A,decrypt,N_B^'+1,K_AB
