,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,K_AS,Pub_S
2,A,send,a^x,Pub_S
3,A,send,Password_A,Pub_S
4,B,receive,ID_A,
5,B,receive,K_AS,Pub_S
6,B,receive,a^x,Pub_S
7,B,receive,Password_A,Pub_S
8,B,encrypt,K_AS,Pub_S
9,B,encrypt,a^x,Pub_S
10,B,encrypt,Password_A,Pub_S
11,B,encrypt,K_BS,Pub_S
12,B,encrypt,a^y,Pub_S
13,B,encrypt,Password_B,Pub_S
14,B,send,ID_A,
15,B,send,K_AS,Pub_S
16,B,send,a^x,Pub_S
17,B,send,Password_A,Pub_S
18,B,send,K_BS,Pub_S
19,B,send,a^y,Pub_S
20,B,send,Password_B,Pub_S
21,S,receive,ID_A,
22,S,receive,K_AS,Pub_S
23,S,receive,a^x,Pub_S
24,S,receive,Password_A,Pub_S
25,S,receive,K_BS,Pub_S
26,S,receive,a^y,Pub_S
27,S,receive,Password_B,Pub_S
28,S,decrypt,K_AS,Pri_S
29,S,decrypt,a^x,Pri_S
30,S,decrypt,Password_A,Pri_S
31,S,decrypt,K_BS,Pri_S
32,S,decrypt,a^y,Pri_S
33,S,decrypt,Password_B,Pri_S
34,S,encrypt,ID_B,K_AS
35,S,encrypt,a^y,K_AS
36,S,encrypt,ID_A,K_BS
37,S,encrypt,a^x,K_BS
38,S,send,ID_B,K_AS
39,S,send,a^y,K_AS
40,S,send,ID_A,K_BS
41,S,send,a^x,K_BS
42,B,receive,ID_B,K_AS
43,B,receive,a^y,K_AS
44,B,receive,ID_A,K_BS
45,B,receive,a^x,K_BS
46,B,decrypt,ID_A,K_BS
47,B,decrypt,a^x,K_BS
48,B,encrypt,ID_B,K_AS
49,B,encrypt,a^y,K_AS
50,B,hash,ID_A,
51,B,encrypt,ID_A,K_AB
52,B,hash,K_AS,
53,B,encrypt,K_AS,K_AB
54,B,hash,a^x,
55,B,encrypt,a^x,K_AB
56,B,hash,Password_A,
57,B,encrypt,Password_A,K_AB
58,B,send,ID_B,K_AS
59,B,send,a^y,K_AS
60,B,send,ID_A,K_AB
61,B,send,K_AS,Pub_S K_AB
62,B,send,a^x,Pub_S K_AB
63,B,send,Password_A,Pub_S K_AB
64,A,receive,ID_B,K_AS
65,A,receive,a^y,K_AS
66,A,receive,ID_A,K_AB
67,A,receive,K_AS,Pub_S K_AB
68,A,receive,a^x,Pub_S K_AB
69,A,receive,Password_A,Pub_S K_AB
70,A,decrypt,ID_B,K_AS
71,A,decrypt,a^y,K_AS
72,A,decrypt,ID_A,K_AB
73,A,decrypt,K_AS,K_AB
74,A,decrypt,a^x,K_AB
75,A,decrypt,Password_A,K_AB
