,pp,ap,mp,kp
0,A,encrypt,ID_A,K_AS
1,A,encrypt,ID_B,K_AS
2,A,send,ID_A,K_AS
3,A,send,ID_B,K_AS
4,B,receive,ID_A,K_AS
5,B,receive,ID_B,K_AS
6,B,encrypt,ID_A,K_AS
7,B,encrypt,ID_B,K_AS
8,B,encrypt,ID_B,K_BS
9,B,encrypt,ID_A,K_BS
10,B,send,ID_A,K_AS
11,B,send,ID_B,K_AS
12,B,send,ID_B,K_BS
13,B,send,ID_A,K_BS
14,S,receive,ID_A,K_AS
15,S,receive,ID_B,K_AS
16,S,receive,ID_B,K_BS
17,S,receive,ID_A,K_BS
18,S,decrypt,ID_A,K_AS
19,S,decrypt,ID_B,K_AS
20,S,decrypt,ID_B,K_BS
21,S,decrypt,ID_A,K_BS
22,S,send,E_(K_AS)K_AB,
23,S,send,E_(K_BS)K_AB,
24,B,receive,E_(K_AS)K_AB,
25,B,receive,E_(K_BS)K_AB,
26,B,send,E_(K_AS)K_AB,
27,A,receive,E_(K_AS)K_AB,
