,pp,ap,mp,kp
0,A,new,T_A,
1,A,encrypt,T_A,K_AB
2,A,encrypt,ID_A,K_AB
3,A,encrypt,a^x,K_AB
4,A,new,N_A,
5,A,send,T_A,K_AB
6,A,send,ID_A,K_AB
7,A,send,a^x,K_AB
8,A,send,N_A,
9,B,receive,T_A,K_AB
10,B,receive,ID_A,K_AB
11,B,receive,a^x,K_AB
12,B,receive,N_A,
13,B,decrypt,T_A,K_AB
14,B,decrypt,ID_A,K_AB
15,B,decrypt,a^x,K_AB
16,B,new,T_B,
17,B,encrypt,T_B,K_AB
18,B,encrypt,ID_B,K_AB
19,B,encrypt,a^y,K_AB
20,B,send,T_B,K_AB
21,B,send,ID_B,K_AB
22,B,send,a^y,K_AB
23,A,receive,T_B,K_AB
24,A,receive,ID_B,K_AB
25,A,receive,a^y,K_AB
26,A,decrypt,T_B,K_AB
27,A,decrypt,ID_B,K_AB
28,A,decrypt,a^y,K_AB
