pp,ap,mp,kp
A,new,N_A, 
A,encrypt,N_A,Password_A
A,new,N_A^', 
A,send,ID_A, 
A,send,K_AS,Pub_S
A,send,N_A,Pub_S
A,send,N_A,Password_A Pub_S
A,send,N_A^', 
B,receive,ID_A, 
B,receive,K_AS,Pub_S
B,receive,N_A,Pub_S
B,receive,N_A,Password_A Pub_S
B,receive,N_A^', 
B,encrypt,K_AS,Pub_S
B,encrypt,N_A,Pub_S
B,encrypt,N_A,Pub_S
B,encrypt,K_BS,Pub_S
B,new,N_B, 
B,encrypt,N_B,Pub_S
B,encrypt,N_B,Password_B
B,encrypt,N_B,Pub_S
B,new,N_B^', 
B,send,ID_A, 
B,send,ID_B, 
B,send,K_AS,Pub_S
B,send,N_A,Pub_S
B,send,N_A,Password_A Pub_S
B,send,K_BS,Pub_S
B,send,N_B,Pub_S
B,send,N_B,Password_B Pub_S
B,send,N_B^', 
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,K_AS,Pub_S
S,receive,N_A,Pub_S
S,receive,N_A,Password_A Pub_S
S,receive,K_BS,Pub_S
S,receive,N_B,Pub_S
S,receive,N_B,Password_B Pub_S
S,receive,N_B^', 
S,decrypt,K_AS,Pri_S
S,decrypt,N_A,Pri_S
S,decrypt,N_A,Pri_S
S,decrypt,K_BS,Pri_S
S,decrypt,N_B,Pri_S
S,decrypt,N_B,Pri_S
S,encrypt,K_AB,K_BS
S,encrypt,N_B,K_BS
S,send,K_AB,K_BS
S,send,N_B,K_BS
B,receive,K_AB,K_BS
B,receive,N_B,K_BS
B,decrypt,K_AB,K_BS
B,decrypt,N_B,K_BS
S,encrypt,K_AB,K_AS
S,encrypt,N_A,K_AS
S,send,K_AB,K_AS
S,send,N_A,K_AS
S,send,N_B^', 
A,receive,K_AB,K_AS
A,receive,N_A,K_AS
A,receive,N_B^', 
A,decrypt,K_AB,K_AS
A,decrypt,N_A,K_AS
B,encrypt,N_A^',K_AB
B,send,N_A^',K_AB
A,receive,N_A^',K_AB
A,decrypt,N_A^',K_AB
A,encrypt,N_B^',K_AB
A,send,N_B^',K_AB
B,receive,N_B^',K_AB
B,decrypt,N_B^',K_AB
