pp,ap,mp,kp
A,send,a^x, 
B,receive,a^x, 
B,hash,ID_B, 
B,hash,a^x, 
B,hash,a^y, 
B,hash,K_AB, 
B,hash,Password_B, 
B,send,a^y, 
B,send,ID_B, 
B,send,a^x, 
B,send,a^y, 
B,send,K_AB, 
B,send,Password_B, 
A,receive,a^y, 
A,receive,ID_B, 
A,receive,a^x, 
A,receive,a^y, 
A,receive,K_AB, 
A,receive,Password_B, 
A,hash,ID_A, 
A,hash,a^x, 
A,hash,a^y, 
A,hash,K_AB, 
A,hash,Password_B, 
A,send,ID_A, 
A,send,a^x, 
A,send,a^y, 
A,send,K_AB, 
A,send,Password_B, 
B,receive,ID_A, 
B,receive,a^x, 
B,receive,a^y, 
B,receive,K_AB, 
B,receive,Password_B, 
