,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,N_A,
4,A,send,N_A^',
5,B,receive,ID_A,
6,B,receive,N_A,
7,B,receive,N_A^',
8,B,new,N_B,
9,B,send,ID_A,
10,B,send,ID_B,
11,B,send,N_A,
12,B,send,N_B,
13,S,receive,ID_A,
14,S,receive,ID_B,
15,S,receive,N_A,
16,S,receive,N_B,
17,S,encrypt,ID_A,K_BS
18,S,encrypt,N_B,K_BS
19,S,encrypt,K_AB,K_BS
20,S,encrypt,ID_B,K_AS
21,S,encrypt,ID_B,K_BS
22,S,encrypt,N_A,K_AS
23,S,encrypt,N_A,K_BS
24,S,encrypt,K_AB,K_AS
25,S,encrypt,K_AB,K_BS
26,S,send,ID_A,K_BS
27,S,send,N_B,K_BS
28,S,send,K_AB,K_BS
29,S,send,ID_B,K_AS K_BS
30,S,send,N_A,K_AS K_BS
31,S,send,K_AB,K_AS K_BS
32,B,receive,ID_A,K_BS
33,B,receive,N_B,K_BS
34,B,receive,K_AB,K_BS
35,B,receive,ID_B,K_AS K_BS
36,B,receive,N_A,K_AS K_BS
37,B,receive,K_AB,K_AS K_BS
38,B,decrypt,ID_A,K_BS
39,B,decrypt,N_B,K_BS
40,B,decrypt,K_AB,K_BS
41,B,decrypt,ID_B,K_BS
42,B,decrypt,N_A,K_BS
43,B,decrypt,K_AB,K_BS
44,B,encrypt,ID_B,K_AS
45,B,encrypt,N_A,K_AS
46,B,encrypt,K_AB,K_AS
47,B,encrypt,ID_A,K_BS
48,B,new,T_B,
49,B,encrypt,T_B,K_BS
50,B,encrypt,K_AB,K_BS
51,B,send,ID_B,K_AS
52,B,send,N_A,K_AS
53,B,send,K_AB,K_AS
54,B,send,ID_A,K_BS
55,B,send,T_B,K_BS
56,B,send,K_AB,K_BS
57,B,send,N_B,
58,A,receive,ID_B,K_AS
59,A,receive,N_A,K_AS
60,A,receive,K_AB,K_AS
61,A,receive,ID_A,K_BS
62,A,receive,T_B,K_BS
63,A,receive,K_AB,K_BS
64,A,receive,N_B,
65,A,decrypt,ID_B,K_AS
66,A,decrypt,N_A,K_AS
67,A,decrypt,K_AB,K_AS
68,A,new,N_B,
69,A,encrypt,ID_B,K_AS
70,A,new,T_A,
71,A,encrypt,T_A,K_AS
72,A,encrypt,K_AB,K_AS
73,A,send,N_B,K_AB
74,A,send,ID_B,K_AS
75,A,send,T_A,K_AS
76,A,send,K_AB,K_AS
77,S,receive,N_B,K_AB
78,S,receive,ID_B,K_AS
79,S,receive,T_A,K_AS
80,S,receive,K_AB,K_AS
81,S,decrypt,ID_B,K_AS
82,S,decrypt,T_A,K_AS
83,S,decrypt,K_AB,K_AS
