,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,N_A,
2,A,send,ID_S,
3,A,send,N_A,Pub_S
4,A,send,Password_A,Pub_S
5,A,send,ID_B,Pub_S
6,B,receive,N_A,
7,B,receive,ID_S,
8,B,receive,N_A,Pub_S
9,B,receive,Password_A,Pub_S
10,B,receive,ID_B,Pub_S
11,B,new,N_B,
12,B,encrypt,N_A,Pub_S
13,B,encrypt,Password_A,Pub_S
14,B,encrypt,ID_B,Pub_S
15,B,send,N_B,
16,B,send,N_A,Pub_S
17,B,send,Password_A,Pub_S
18,B,send,ID_B,Pub_S
19,S,receive,N_B,
20,S,receive,N_A,Pub_S
21,S,receive,Password_A,Pub_S
22,S,receive,ID_B,Pub_S
23,S,decrypt,N_A,Pri_S
24,S,decrypt,Password_A,Pri_S
25,S,decrypt,ID_B,Pri_S
26,S,encrypt,N_A,K_AS
27,S,encrypt,ID_A,K_AS
28,S,encrypt,K_AB,K_AS
29,S,encrypt,N_B,K_BS
30,S,encrypt,ID_A,K_BS
31,S,encrypt,K_AB,K_BS
32,S,send,N_A,K_AS
33,S,send,ID_A,K_AS
34,S,send,K_AB,K_AS
35,S,send,N_B,K_BS
36,S,send,ID_A,K_BS
37,S,send,K_AB,K_BS
38,B,receive,N_A,K_AS
39,B,receive,ID_A,K_AS
40,B,receive,K_AB,K_AS
41,B,receive,N_B,K_BS
42,B,receive,ID_A,K_BS
43,B,receive,K_AB,K_BS
44,B,decrypt,N_B,K_BS
45,B,decrypt,ID_A,K_BS
46,B,decrypt,K_AB,K_BS
47,B,encrypt,N_A,K_AS
48,B,encrypt,ID_A,K_AS
49,B,encrypt,K_AB,K_AS
50,B,hash,K_AB,
51,B,hash,N_A,
52,B,send,N_A,K_AS
53,B,send,ID_A,K_AS
54,B,send,K_AB,K_AS
55,B,send,K_AB,
56,B,send,N_A,
57,B,send,N_B,
58,A,receive,N_A,K_AS
59,A,receive,ID_A,K_AS
60,A,receive,K_AB,K_AS
61,A,receive,K_AB,
62,A,receive,N_A,
63,A,receive,N_B,
64,A,decrypt,N_A,K_AS
65,A,decrypt,ID_A,K_AS
66,A,decrypt,K_AB,K_AS
67,A,hash,K_AB,
68,A,hash,N_A,
69,A,hash,N_B,
70,A,send,K_AB,
71,A,send,N_A,
72,A,send,N_B,
73,B,receive,K_AB,
74,B,receive,N_A,
75,B,receive,N_B,
