,pp,ap,mp,kp
0,A,encrypt,ID_A,K_AS
1,A,encrypt,ID_S,K_AS
2,A,encrypt,ID_A,K_AS
3,A,encrypt,a^x,K_AS
4,A,encrypt,ID_B,K_AS
5,A,send,ID_A,
6,A,send,ID_B,
7,A,send,ID_A,K_AS
8,A,send,ID_S,K_AS
9,A,send,ID_A,K_AS
10,A,send,a^x,K_AS
11,A,send,ID_B,K_AS
12,S,receive,ID_A,
13,S,receive,ID_B,
14,S,receive,ID_A,K_AS
15,S,receive,ID_S,K_AS
16,S,receive,ID_A,K_AS
17,S,receive,a^x,K_AS
18,S,receive,ID_B,K_AS
19,S,decrypt,ID_A,K_AS
20,S,decrypt,ID_S,K_AS
21,S,decrypt,ID_A,K_AS
22,S,decrypt,a^x,K_AS
23,S,decrypt,ID_B,K_AS
24,S,encrypt,ID_S,K_BS
25,S,encrypt,ID_A,K_BS
26,S,encrypt,ID_A,K_BS
27,S,encrypt,a^x,K_BS
28,S,encrypt,ID_B,K_BS
29,S,send,ID_S,K_BS
30,S,send,ID_A,K_BS K_BS
31,S,send,a^x,K_BS
32,S,send,ID_B,K_BS
33,B,receive,ID_S,K_BS
34,B,receive,ID_A,K_BS K_BS
35,B,receive,a^x,K_BS
36,B,receive,ID_B,K_BS
37,B,decrypt,ID_S,K_BS
38,B,decrypt,ID_A,K_BS
39,B,decrypt,ID_A,K_BS
40,B,decrypt,a^x,K_BS
41,B,decrypt,ID_B,K_BS
42,B,encrypt,ID_B,K_BS
43,B,encrypt,ID_S,K_BS
44,B,encrypt,ID_B,K_BS
45,B,encrypt,a^y,K_BS
46,B,encrypt,ID_A,K_BS
47,B,encrypt,ID_B,K_AB
48,B,encrypt,ID_A,K_AB
49,B,send,ID_B,K_BS
50,B,send,ID_S,K_BS
51,B,send,ID_B,K_BS
52,B,send,a^y,K_BS
53,B,send,ID_A,K_BS
54,B,send,ID_B,K_AB
55,B,send,ID_A,K_AB
56,S,receive,ID_B,K_BS
57,S,receive,ID_S,K_BS
58,S,receive,ID_B,K_BS
59,S,receive,a^y,K_BS
60,S,receive,ID_A,K_BS
61,S,receive,ID_B,K_AB
62,S,receive,ID_A,K_AB
63,S,decrypt,ID_B,K_BS
64,S,decrypt,ID_S,K_BS
65,S,decrypt,ID_B,K_BS
66,S,decrypt,a^y,K_BS
67,S,decrypt,ID_A,K_BS
68,S,encrypt,ID_S,K_AS
69,S,encrypt,ID_B,K_AS
70,S,encrypt,ID_B,K_AS
71,S,encrypt,a^y,K_AS
72,S,encrypt,ID_A,K_AS
73,S,encrypt,ID_B,K_AB
74,S,encrypt,ID_A,K_AB
75,S,send,ID_S,K_AS
76,S,send,ID_B,K_AS K_AS
77,S,send,a^y,K_AS
78,S,send,ID_A,K_AS
79,S,send,ID_B,K_AB
80,S,send,ID_A,K_AB
81,A,receive,ID_S,K_AS
82,A,receive,ID_B,K_AS K_AS
83,A,receive,a^y,K_AS
84,A,receive,ID_A,K_AS
85,A,receive,ID_B,K_AB
86,A,receive,ID_A,K_AB
87,A,decrypt,ID_S,K_AS
88,A,decrypt,ID_B,K_AS
89,A,decrypt,ID_B,K_AS
90,A,decrypt,a^y,K_AS
91,A,decrypt,ID_A,K_AS
92,A,decrypt,ID_B,K_AB
93,A,decrypt,ID_A,K_AB
94,A,encrypt,ID_A,K_AB
95,A,encrypt,ID_B,K_AB
96,A,send,ID_A,K_AB
97,A,send,ID_B,K_AB
98,B,receive,ID_A,K_AB
99,B,receive,ID_B,K_AB
100,B,decrypt,ID_A,K_AB
101,B,decrypt,ID_B,K_AB
