,pp,ap,mp,kp
0,A,new,T_A,
1,A,sign,T_A,Pri_A
2,A,sign,ID_B,Pri_A
3,A,new,N_A,
4,A,send,Cert_A,
5,A,send,T_A,
6,A,send,ID_B,
7,A,send,T_A,Pri_A
8,A,send,ID_B,Pri_A
9,A,send,N_A,
10,B,receive,Cert_A,
11,B,receive,T_A,
12,B,receive,ID_B,
13,B,receive,T_A,Pri_A
14,B,receive,ID_B,Pri_A
15,B,receive,N_A,
16,B,verify,T_A,Pub_A
17,B,verify,ID_B,Pub_A
18,B,new,T_B,
19,B,sign,T_B,Pri_B
20,B,sign,ID_A,Pri_B
21,B,send,Cert_B,
22,B,send,T_B,
23,B,send,ID_A,
24,B,send,T_B,Pri_B
25,B,send,ID_A,Pri_B
26,A,receive,Cert_B,
27,A,receive,T_B,
28,A,receive,ID_A,
29,A,receive,T_B,Pri_B
30,A,receive,ID_A,Pri_B
31,A,verify,T_B,Pub_B
32,A,verify,ID_A,Pub_B
