,pp,ap,mp,kp
0,A,encrypt,ID_A,Pub_S
1,A,encrypt,ID_B,Pub_S
2,A,new,N_A,
3,A,encrypt,N_A,Pub_S
4,A,new,N_A^',
5,A,encrypt,N_A^',Pub_S
6,A,send,ID_A,Pub_S
7,A,send,ID_B,Pub_S
8,A,send,N_A,Pub_S
9,A,send,N_A^',Pub_S
10,S,receive,ID_A,Pub_S
11,S,receive,ID_B,Pub_S
12,S,receive,N_A,Pub_S
13,S,receive,N_A^',Pub_S
14,S,decrypt,ID_A,Pri_S
15,S,decrypt,ID_B,Pri_S
16,S,decrypt,N_A,Pri_S
17,S,decrypt,N_A^',Pri_S
18,S,send,ID_A,
19,S,send,ID_B,
20,B,receive,ID_A,
21,B,receive,ID_B,
22,B,encrypt,ID_B,Pub_S
23,B,encrypt,ID_A,Pub_S
24,B,new,N_B,
25,B,encrypt,N_B,Pub_S
26,B,new,N_B^',
27,B,encrypt,N_B^',Pub_S
28,B,send,ID_B,Pub_S
29,B,send,ID_A,Pub_S
30,B,send,N_B,Pub_S
31,B,send,N_B^',Pub_S
32,S,receive,ID_B,Pub_S
33,S,receive,ID_A,Pub_S
34,S,receive,N_B,Pub_S
35,S,receive,N_B^',Pub_S
36,S,decrypt,ID_B,Pri_S
37,S,decrypt,ID_A,Pri_S
38,S,decrypt,N_B,Pri_S
39,S,decrypt,N_B^',Pri_S
40,S,encrypt,N_A,K_AS
41,S,encrypt,K_AB,K_AS
42,S,encrypt,N_B^',K_AS
43,S,send,N_A,K_AS
44,S,send,K_AB,K_AS
45,S,send,N_B^',K_AS
46,A,receive,N_A,K_AS
47,A,receive,K_AB,K_AS
48,A,receive,N_B^',K_AS
49,A,decrypt,N_A,K_AS
50,A,decrypt,K_AB,K_AS
51,A,decrypt,N_B^',K_AS
52,S,encrypt,N_B,K_BS
53,S,encrypt,K_AB,K_BS
54,S,encrypt,N_A^',K_BS
55,S,send,N_B,K_BS
56,S,send,K_AB,K_BS
57,S,send,N_A^',K_BS
58,B,receive,N_B,K_BS
59,B,receive,K_AB,K_BS
60,B,receive,N_A^',K_BS
61,B,decrypt,N_B,K_BS
62,B,decrypt,K_AB,K_BS
63,B,decrypt,N_A^',K_BS
64,A,encrypt,N_B^'+1,K_AB
65,A,send,N_B^'+1,K_AB
66,B,receive,N_B^'+1,K_AB
67,B,decrypt,N_B^'+1,K_AB
68,B,encrypt,N_A^'+1,K_AB
69,B,send,N_A^'+1,K_AB
70,A,receive,N_A^'+1,K_AB
71,A,decrypt,N_A^'+1,K_AB
