pp,ap,mp,kp
A,new,N_A, 
A,encrypt,N_A,Pub_S
A,encrypt,ID_B,Pub_S
A,encrypt,Password_A,Pub_S
A,send,ID_A, 
A,send,ID_B, 
A,send,N_A,Pub_S
A,send,ID_B,Pub_S
A,send,Password_A,Pub_S
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,N_A,Pub_S
S,receive,ID_B,Pub_S
S,receive,Password_A,Pub_S
S,decrypt,N_A,Pri_S
S,decrypt,ID_B,Pri_S
S,decrypt,Password_A,Pri_S
S,send,ID_A, 
S,send,ID_B, 
B,receive,ID_A, 
B,receive,ID_B, 
B,new,N_B, 
B,encrypt,N_B,Pub_S
B,encrypt,ID_A,Pub_S
B,encrypt,Password_B,Pub_S
B,send,ID_A, 
B,send,ID_B, 
B,send,N_B,Pub_S
B,send,ID_A,Pub_S
B,send,Password_B,Pub_S
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,N_B,Pub_S
S,receive,ID_A,Pub_S
S,receive,Password_B,Pub_S
S,decrypt,N_B,Pri_S
S,decrypt,ID_A,Pri_S
S,decrypt,Password_B,Pri_S
S,encrypt,N_A,Password_A
S,encrypt,K_AB,Password_A
S,send,N_A, 
S,send,N_A,Password_A
S,send,K_AB,Password_A
A,receive,N_A, 
A,receive,N_A,Password_A
A,receive,K_AB,Password_A
S,encrypt,N_B,Password_B
S,encrypt,K_AB,Password_B
S,send,N_B, 
S,send,N_B,Password_B
S,send,K_AB,Password_B
B,receive,N_B, 
B,receive,N_B,Password_B
B,receive,K_AB,Password_B
A,new,N_A^', 
A,encrypt,N_A^',K_AB
A,send,N_A^',K_AB
B,receive,N_A^',K_AB
B,decrypt,N_A^',K_AB
B,hash,N_A^', 
B,encrypt,N_A^',K_AB
B,new,N_B^', 
B,encrypt,N_B^',K_AB
B,send,N_A^',K_AB
B,send,N_B^',K_AB
A,receive,N_A^',K_AB
A,receive,N_B^',K_AB
A,decrypt,N_A^',K_AB
A,decrypt,N_B^',K_AB
A,encrypt,N_B^',K_AB
A,send,N_B^',K_AB
B,receive,N_B^',K_AB
B,decrypt,N_B^',K_AB
