,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,N_A,
3,A,send,N_A^',
4,B,receive,N_A,
5,B,receive,N_A^',
6,B,new,N_B,
7,B,new,N_B^',
8,B,send,N_A,
9,B,send,N_B,
10,B,send,N_B^',
11,S,receive,N_A,
12,S,receive,N_B,
13,S,receive,N_B^',
14,S,hash,ID_A,hK_AS
15,S,hash,ID_B,hK_AS
16,S,hash,N_A,hK_AS
17,S,hash,K_AB,hK_AS
18,S,send,K_AB,
19,S,send,ID_A,hK_AS
20,S,send,ID_B,hK_AS
21,S,send,N_A,hK_AS
22,S,send,K_AB,hK_AS
23,A,receive,K_AB,
24,A,receive,ID_A,hK_AS
25,A,receive,ID_B,hK_AS
26,A,receive,N_A,hK_AS
27,A,receive,K_AB,hK_AS
28,A,decrypt,ID_A,hK_AS
29,A,decrypt,ID_B,hK_AS
30,A,decrypt,N_A,hK_AS
31,A,decrypt,K_AB,hK_AS
32,S,hash,ID_A,hK_BS
33,S,hash,ID_B,hK_BS
34,S,hash,N_B,hK_BS
35,S,hash,K_AB,hK_BS
36,S,send,K_AB,
37,S,send,ID_A,hK_BS
38,S,send,ID_B,hK_BS
39,S,send,N_B,hK_BS
40,S,send,K_AB,hK_BS
41,B,receive,K_AB,
42,B,receive,ID_A,hK_BS
43,B,receive,ID_B,hK_BS
44,B,receive,N_B,hK_BS
45,B,receive,K_AB,hK_BS
46,B,decrypt,ID_A,hK_BS
47,B,decrypt,ID_B,hK_BS
48,B,decrypt,N_B,hK_BS
49,B,decrypt,K_AB,hK_BS
