pp,ap,mp,kp
A,encrypt,ID_B,Password_A
A,encrypt,a^x,Password_A
A,send,ID_A, 
A,send,ID_B,Password_A
A,send,a^x,Password_A
B,receive,ID_A, 
B,receive,ID_B,Password_A
B,receive,a^x,Password_A
B,encrypt,ID_A,Password_B
B,encrypt,a^y,Password_B
B,send,ID_A, 
B,send,ID_B,Password_A
B,send,a^x,Password_A
B,send,ID_A,Password_B
B,send,a^y,Password_B
S,receive,ID_A, 
S,receive,ID_B,Password_A
S,receive,a^x,Password_A
S,receive,ID_A,Password_B
S,receive,a^y,Password_B
S,send,a^z, 
B,receive,a^z, 
B,new,N_B, 
B,encrypt,N_B,K_AB
B,encrypt,a^y,K_AB
B,encrypt,a^z,K_AB
B,send,a^z, 
B,send,N_B,K_AB
B,send,a^y,K_AB
B,send,a^z,K_AB
A,receive,a^z, 
A,receive,N_B,K_AB
A,receive,a^y,K_AB
A,receive,a^z,K_AB
A,decrypt,N_B,K_AB
A,decrypt,a^y,K_AB
A,decrypt,a^z,K_AB
A,encrypt,N_B,K_AB
A,encrypt,a^x,K_AB
A,encrypt,a^z,K_AB
A,send,N_B,K_AB
A,send,a^x,K_AB
A,send,a^z,K_AB
B,receive,N_B,K_AB
B,receive,a^x,K_AB
B,receive,a^z,K_AB
B,decrypt,N_B,K_AB
B,decrypt,a^x,K_AB
B,decrypt,a^z,K_AB
