pp,ap,mp,kp
A,encrypt,ID_S,K_AS
A,new,T_A, 
A,encrypt,T_A,K_AS
A,send,ID_A, 
A,send,ID_S,K_AS
A,send,T_A,K_AS
S,receive,ID_A, 
S,receive,ID_S,K_AS
S,receive,T_A,K_AS
S,decrypt,ID_S,K_AS
S,decrypt,T_A,K_AS
S,encrypt,ID_A,Pub_S
S,encrypt,ID_S,Pub_S
S,send,ID_A,Pub_S
S,send,ID_S,Pub_S
A,receive,ID_A,Pub_S
A,receive,ID_S,Pub_S
A,send,ID_A,Pub_S
A,send,ID_S,Pub_S
B,receive,ID_A,Pub_S
B,receive,ID_S,Pub_S
B,encrypt,ID_A,Pub_S
B,encrypt,ID_S,Pub_S
B,send,ID_B, 
B,send,ID_A,Pub_S
B,send,ID_S,Pub_S
S,receive,ID_B, 
S,receive,ID_A,Pub_S
S,receive,ID_S,Pub_S
S,decrypt,ID_A,Pri_S
S,decrypt,ID_S,Pri_S
S,encrypt,ID_A,K_BS
S,encrypt,ID_S,K_BS
S,send,ID_A,K_BS
S,send,ID_S,K_BS
B,receive,ID_A,K_BS
B,receive,ID_S,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,ID_S,K_BS
