,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,N_A,
4,A,send,N_A^',
5,B,receive,ID_A,
6,B,receive,N_A,
7,B,receive,N_A^',
8,B,encrypt,N_A,K_AB
9,B,new,N_B,
10,B,encrypt,N_B,K_AB
11,B,encrypt,K_AB^',K_AB
12,B,encrypt,ID_B,K_AB
13,B,hash,N_A,hK_AB^'
14,B,hash,K_AB^',hK_AB^'
15,B,hash,ID_B,hK_AB^'
16,B,send,N_A,K_AB
17,B,send,N_B,K_AB
18,B,send,K_AB^',K_AB
19,B,send,ID_B,K_AB
20,B,send,N_A,hK_AB^'
21,B,send,K_AB^',hK_AB^'
22,B,send,ID_B,hK_AB^'
23,A,receive,N_A,K_AB
24,A,receive,N_B,K_AB
25,A,receive,K_AB^',K_AB
26,A,receive,ID_B,K_AB
27,A,receive,N_A,hK_AB^'
28,A,receive,K_AB^',hK_AB^'
29,A,receive,ID_B,hK_AB^'
30,A,decrypt,N_A,K_AB
31,A,decrypt,N_B,K_AB
32,A,decrypt,K_AB^',K_AB
33,A,decrypt,ID_B,K_AB
34,A,decrypt,N_A,hK_AB^'
35,A,decrypt,K_AB^',hK_AB^'
36,A,decrypt,ID_B,hK_AB^'
37,A,encrypt,N_B,K_AB
38,A,encrypt,K_AB^',K_AB
39,A,encrypt,ID_A,K_AB
40,A,send,N_B,K_AB
41,A,send,K_AB^',K_AB
42,A,send,ID_A,K_AB
43,B,receive,N_B,K_AB
44,B,receive,K_AB^',K_AB
45,B,receive,ID_A,K_AB
46,B,decrypt,N_B,K_AB
47,B,decrypt,K_AB^',K_AB
48,B,decrypt,ID_A,K_AB
