pp,ap,mp,kp
A,send,ID_A, 
A,send,a^x, 
B,receive,ID_A, 
B,receive,a^x, 
B,hash,ID_B,hK_AB
B,hash,a^x,hK_AB
B,hash,a^y,hK_AB
B,send,ID_B, 
B,send,a^y, 
B,send,ID_B,hK_AB
B,send,a^x,hK_AB
B,send,a^y,hK_AB
A,receive,ID_B, 
A,receive,a^y, 
A,receive,ID_B,hK_AB
A,receive,a^x,hK_AB
A,receive,a^y,hK_AB
A,decrypt,ID_B,hK_AB
A,decrypt,a^x,hK_AB
A,decrypt,a^y,hK_AB
A,hash,ID_B,hK_AB
A,hash,a^x,hK_AB
A,hash,a^y,hK_AB
A,send,ID_B,hK_AB
A,send,a^x,hK_AB
A,send,a^y,hK_AB
B,receive,ID_B,hK_AB
B,receive,a^x,hK_AB
B,receive,a^y,hK_AB
B,decrypt,ID_B,hK_AB
B,decrypt,a^x,hK_AB
B,decrypt,a^y,hK_AB
