,pp,ap,mp,kp
0,A,new,N_A,
1,A,encrypt,N_A,K_AS
2,A,encrypt,ID_A,K_AS
3,A,encrypt,ID_B,K_AS
4,A,new,N_A^',
5,A,send,ID_A,
6,A,send,ID_B,
7,A,send,N_A,
8,A,send,N_A,K_AS
9,A,send,ID_A,K_AS
10,A,send,ID_B,K_AS
11,A,send,N_A^',
12,B,receive,ID_A,
13,B,receive,ID_B,
14,B,receive,N_A,
15,B,receive,N_A,K_AS
16,B,receive,ID_A,K_AS
17,B,receive,ID_B,K_AS
18,B,receive,N_A^',
19,B,encrypt,N_A,K_AS
20,B,encrypt,ID_A,K_AS
21,B,encrypt,ID_B,K_AS
22,B,encrypt,N_A,K_BS
23,B,new,N_B,
24,B,encrypt,N_B,K_BS
25,B,encrypt,ID_A,K_BS
26,B,encrypt,ID_B,K_BS
27,B,new,N_B^',
28,B,send,N_A,K_AS
29,B,send,ID_A,K_AS
30,B,send,ID_B,K_AS
31,B,send,N_A,K_BS
32,B,send,N_B,K_BS
33,B,send,ID_A,K_BS
34,B,send,ID_B,K_BS
35,B,send,N_B^',
36,S,receive,N_A,K_AS
37,S,receive,ID_A,K_AS
38,S,receive,ID_B,K_AS
39,S,receive,N_A,K_BS
40,S,receive,N_B,K_BS
41,S,receive,ID_A,K_BS
42,S,receive,ID_B,K_BS
43,S,receive,N_B^',
44,S,decrypt,N_A,K_AS
45,S,decrypt,ID_A,K_AS
46,S,decrypt,ID_B,K_AS
47,S,decrypt,N_A,K_BS
48,S,decrypt,N_B,K_BS
49,S,decrypt,ID_A,K_BS
50,S,decrypt,ID_B,K_BS
51,S,encrypt,ID_B,K_AS
52,S,encrypt,ID_B,K_BS
53,S,encrypt,N_A,K_AS
54,S,encrypt,N_A,K_BS
55,S,encrypt,K_AB,K_AS
56,S,encrypt,K_AB,K_BS
57,S,encrypt,ID_A,K_BS
58,S,encrypt,N_B,K_BS
59,S,encrypt,K_AB,K_BS
60,S,new,N_S,
61,S,send,ID_B,K_AS K_BS
62,S,send,N_A,K_AS K_BS
63,S,send,K_AB,K_AS K_BS
64,S,send,ID_A,K_BS
65,S,send,N_B,K_BS
66,S,send,K_AB,K_BS
67,S,send,N_S,
68,B,receive,ID_B,K_AS K_BS
69,B,receive,N_A,K_AS K_BS
70,B,receive,K_AB,K_AS K_BS
71,B,receive,ID_A,K_BS
72,B,receive,N_B,K_BS
73,B,receive,K_AB,K_BS
74,B,receive,N_S,
75,B,decrypt,ID_B,K_BS
76,B,decrypt,N_A,K_BS
77,B,decrypt,K_AB,K_BS
78,B,decrypt,ID_A,K_BS
79,B,decrypt,N_B,K_BS
80,B,decrypt,K_AB,K_BS
81,B,encrypt,ID_B,K_AS
82,B,encrypt,N_A,K_AS
83,B,encrypt,K_AB,K_AS
84,B,send,ID_B,K_AS
85,B,send,N_A,K_AS
86,B,send,K_AB,K_AS
87,A,receive,ID_B,K_AS
88,A,receive,N_A,K_AS
89,A,receive,K_AB,K_AS
90,A,decrypt,ID_B,K_AS
91,A,decrypt,N_A,K_AS
92,A,decrypt,K_AB,K_AS
