pp,ap,mp,kp
A,new,N_A^', 
A,new,N_A, 
A,send,ID_A, 
A,send,N_A^', 
A,send,Password_A,Pub_S
A,send,N_A,Pub_S
A,send,N_A,Pub_S
A,send,ID_B,Pub_S
A,send,N_A^',Pub_S
B,receive,ID_A, 
B,receive,N_A^', 
B,receive,Password_A,Pub_S
B,receive,N_A,Pub_S
B,receive,N_A,Pub_S
B,receive,ID_B,Pub_S
B,receive,N_A^',Pub_S
B,encrypt,Password_A,Pub_S
B,encrypt,N_A,Pub_S
B,encrypt,N_A,Pub_S
B,encrypt,ID_B,Pub_S
B,encrypt,N_A^',Pub_S
B,encrypt,Password_B,Pub_S
B,new,N_B, 
B,encrypt,N_B,Pub_S
B,encrypt,N_B,Pub_S
B,encrypt,ID_A,Pub_S
B,encrypt,N_A^',Pub_S
B,send,ID_A, 
B,send,ID_B, 
B,send,Password_A,Pub_S
B,send,N_A,Pub_S
B,send,N_A,Pub_S
B,send,ID_B,Pub_S
B,send,N_A^',Pub_S
B,send,Password_B,Pub_S
B,send,N_B,Pub_S
B,send,N_B,Pub_S
B,send,ID_A,Pub_S
B,send,N_A^',Pub_S
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,Password_A,Pub_S
S,receive,N_A,Pub_S
S,receive,N_A,Pub_S
S,receive,ID_B,Pub_S
S,receive,N_A^',Pub_S
S,receive,Password_B,Pub_S
S,receive,N_B,Pub_S
S,receive,N_B,Pub_S
S,receive,ID_A,Pub_S
S,receive,N_A^',Pub_S
S,decrypt,Password_A,Pri_S
S,decrypt,N_A,Pri_S
S,decrypt,N_A,Pri_S
S,decrypt,ID_B,Pri_S
S,decrypt,N_A^',Pri_S
S,decrypt,Password_B,Pri_S
S,decrypt,N_B,Pri_S
S,decrypt,N_B,Pri_S
S,decrypt,ID_A,Pri_S
S,decrypt,N_A^',Pri_S
S,encrypt,N_A,K_AS
S,encrypt,K_AB,K_AS
S,encrypt,N_B,K_BS
S,encrypt,K_AB,K_BS
S,encrypt,N_A^',K_AB
S,send,N_A, 
S,send,N_A,K_AS
S,send,K_AB,K_AS
S,send,N_B, 
S,send,N_B,K_BS
S,send,K_AB,K_BS
S,send,N_A^',K_AB
A,receive,N_A, 
A,receive,N_A,K_AS
A,receive,K_AB,K_AS
A,receive,N_B, 
A,receive,N_B,K_BS
A,receive,K_AB,K_BS
A,receive,N_A^',K_AB
A,decrypt,N_A,K_AS
A,decrypt,K_AB,K_AS
A,decrypt,N_A^',K_AB
A,encrypt,N_B,K_BS
A,encrypt,K_AB,K_BS
A,encrypt,N_A^'+1,K_AB
A,send,N_B, 
A,send,N_B,K_BS
A,send,K_AB,K_BS
A,send,N_A^'+1,K_AB
B,receive,N_B, 
B,receive,N_B,K_BS
B,receive,K_AB,K_BS
B,receive,N_A^'+1,K_AB
B,decrypt,N_B,K_BS
B,decrypt,K_AB,K_BS
B,decrypt,N_A^'+1,K_AB
B,encrypt,ID_B,K_AB
B,encrypt,N_A^',K_AB
B,send,ID_B,K_AB
B,send,N_A^',K_AB
A,receive,ID_B,K_AB
A,receive,N_A^',K_AB
A,decrypt,ID_B,K_AB
A,decrypt,N_A^',K_AB
