pp,ap,mp,kp
A,new,N_A, 
A,send,N_A, 
B,receive,N_A, 
B,encrypt,K_AB^',Pub_A
B,new,N_B, 
B,hash,ID_A,hK_AB
B,hash,N_A,hK_AB
B,encrypt,K_AB^',Pub_A
B,hash,K_AB^',hK_AB
B,send,K_AB^',Pub_A
B,send,ID_B, 
B,send,N_B, 
B,send,ID_A,hK_AB
B,send,N_A,hK_AB
B,send,K_AB^',Pub_A hK_AB
A,receive,K_AB^',Pub_A
A,receive,ID_B, 
A,receive,N_B, 
A,receive,ID_A,hK_AB
A,receive,N_A,hK_AB
A,receive,K_AB^',Pub_A hK_AB
A,decrypt,K_AB^',Pri_A
A,decrypt,ID_A,hK_AB
A,decrypt,N_A,hK_AB
A,decrypt,K_AB^',Pri_A
A,decrypt,K_AB^',hK_AB
A,hash,ID_A,hK_AB
A,hash,ID_B,hK_AB
A,hash,N_A,hK_AB
A,hash,N_B,hK_AB
A,send,ID_A,hK_AB
A,send,ID_B,hK_AB
A,send,N_A,hK_AB
A,send,N_B,hK_AB
B,receive,ID_A,hK_AB
B,receive,ID_B,hK_AB
B,receive,N_A,hK_AB
B,receive,N_B,hK_AB
B,decrypt,ID_A,hK_AB
B,decrypt,ID_B,hK_AB
B,decrypt,N_A,hK_AB
B,decrypt,N_B,hK_AB
