pp,ap,mp,kp
A,new,N_A, 
A,send,a^x, 
A,send,N_A, 
A,send,ID_A, 
B,receive,a^x, 
B,receive,N_A, 
B,receive,ID_A, 
B,new,N_B, 
B,hash,a^y,hK_AB
B,sign,a^y,Pri_B
B,hash,a^x,hK_AB
B,sign,a^x,Pri_B
B,hash,ID_B,hK_AB
B,sign,ID_B,Pri_B
B,hash,ID_A,hK_AB
B,sign,ID_A,Pri_B
B,send,a^y, 
B,send,N_B, 
B,send,ID_B, 
B,send,a^y,hK_AB Pri_B
B,send,a^x,hK_AB Pri_B
B,send,ID_B,hK_AB Pri_B
B,send,ID_A,hK_AB Pri_B
A,receive,a^y, 
A,receive,N_B, 
A,receive,ID_B, 
A,receive,a^y,hK_AB Pri_B
A,receive,a^x,hK_AB Pri_B
A,receive,ID_B,hK_AB Pri_B
A,receive,ID_A,hK_AB Pri_B
A,decrypt,a^y,hK_AB
A,verify,a^y,Pub_B
A,decrypt,a^x,hK_AB
A,verify,a^x,Pub_B
A,decrypt,ID_B,hK_AB
A,verify,ID_B,Pub_B
A,decrypt,ID_A,hK_AB
A,verify,ID_A,Pub_B
A,hash,a^x,hK_AB
A,sign,a^x,Pri_A
A,hash,a^y,hK_AB
A,sign,a^y,Pri_A
A,hash,ID_A,hK_AB
A,sign,ID_A,Pri_A
A,hash,ID_B,hK_AB
A,sign,ID_B,Pri_A
A,send,a^x,hK_AB Pri_A
A,send,a^y,hK_AB Pri_A
A,send,ID_A,hK_AB Pri_A
A,send,ID_B,hK_AB Pri_A
B,receive,a^x,hK_AB Pri_A
B,receive,a^y,hK_AB Pri_A
B,receive,ID_A,hK_AB Pri_A
B,receive,ID_B,hK_AB Pri_A
B,decrypt,a^x,hK_AB
B,verify,a^x,Pub_A
B,decrypt,a^y,hK_AB
B,verify,a^y,Pub_A
B,decrypt,ID_A,hK_AB
B,verify,ID_A,Pub_A
B,decrypt,ID_B,hK_AB
B,verify,ID_B,Pub_A
