pp,ap,mp,kp
A,send,ID_A, 
A,send,a^x, 
B,receive,ID_A, 
B,receive,a^x, 
B,sign,a^x,Pri_B
B,sign,a^y,Pri_B
B,hash,ID_B,hK_AB
B,send,ID_B, 
B,send,a^y, 
B,send,a^x,Pri_B
B,send,a^y,Pri_B
B,send,ID_B,hK_AB
A,receive,ID_B, 
A,receive,a^y, 
A,receive,a^x,Pri_B
A,receive,a^y,Pri_B
A,receive,ID_B,hK_AB
A,verify,a^x,Pub_B
A,verify,a^y,Pub_B
A,decrypt,ID_B,hK_AB
A,sign,a^x,Pri_A
A,sign,a^y,Pri_A
A,hash,ID_A,hK_AB
A,send,ID_A, 
A,send,a^x,Pri_A
A,send,a^y,Pri_A
A,send,ID_A,hK_AB
B,receive,ID_A, 
B,receive,a^x,Pri_A
B,receive,a^y,Pri_A
B,receive,ID_A,hK_AB
B,verify,a^x,Pub_A
B,verify,a^y,Pub_A
B,decrypt,ID_A,hK_AB
