,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,ID_A,
2,A,send,N_A,
3,A,send,a^x,
4,B,receive,ID_A,
5,B,receive,N_A,
6,B,receive,a^x,
7,B,encrypt,ID_A,Password_A
8,B,encrypt,ID_B,Password_A
9,B,new,N_B,
10,B,encrypt,N_B,Password_A
11,B,encrypt,a^y,Password_A
12,B,send,ID_A,Password_A
13,B,send,ID_B,Password_A
14,B,send,N_B,Password_A
15,B,send,a^y,Password_A
16,A,receive,ID_A,Password_A
17,A,receive,ID_B,Password_A
18,A,receive,N_B,Password_A
19,A,receive,a^y,Password_A
20,A,hash,N_A+1,
21,A,hash,a^x,
22,A,hash,K_AB,
23,A,send,N_A+1,
24,A,send,a^x,
25,A,send,K_AB,
26,B,receive,N_A+1,
27,B,receive,a^x,
28,B,receive,K_AB,
29,B,encrypt,ID_A,Password_A
30,B,hash,ID_A,
31,B,encrypt,ID_B,Password_A
32,B,hash,ID_B,
33,B,encrypt,N_B+1,Password_A
34,B,hash,N_B+1,
35,B,encrypt,a^y,Password_A
36,B,hash,a^y,
37,B,hash,K_AB,
38,B,send,ID_A,Password_A
39,B,send,ID_B,Password_A
40,B,send,N_B+1,Password_A
41,B,send,a^y,Password_A
42,B,send,K_AB,
43,A,receive,ID_A,Password_A
44,A,receive,ID_B,Password_A
45,A,receive,N_B+1,Password_A
46,A,receive,a^y,Password_A
47,A,receive,K_AB,
