pp,ap,mp,kp
A,new,N_A, 
A,hash,N_A,hK_AS
A,send,ID_A, 
A,send,ID_B, 
A,send,N_A, 
A,send,N_A,hK_AS
B,receive,ID_A, 
B,receive,ID_B, 
B,receive,N_A, 
B,receive,N_A,hK_AS
B,hash,K_BS, 
B,new,N_B, 
B,hash,N_B, 
B,send,ID_B, 
B,send,ID_A, 
B,send,K_BS, 
B,send,N_B, 
B,send,N_A,hK_AS
A,receive,ID_B, 
A,receive,ID_A, 
A,receive,K_BS, 
A,receive,N_B, 
A,receive,N_A,hK_AS
A,decrypt,N_A,hK_AS
A,hash,K_BS, 
A,hash,N_B, 
A,hash,N_A,hK_AS
A,send,ID_A, 
A,send,ID_S, 
A,send,N_A, 
A,send,K_BS, 
A,send,N_B, 
A,send,N_A,hK_AS
S,receive,ID_A, 
S,receive,ID_S, 
S,receive,N_A, 
S,receive,K_BS, 
S,receive,N_B, 
S,receive,N_A,hK_AS
S,decrypt,N_A,hK_AS
S,hash,ID_A, 
S,hash,K_BS, 
S,hash,N_B, 
S,encrypt,ID_B,K_AS
S,encrypt,N_A,K_AS
S,send,ID_A, 
S,send,K_BS, 
S,send,N_B, 
S,send,ID_B,K_AS
S,send,N_A,K_AS
A,receive,ID_A, 
A,receive,K_BS, 
A,receive,N_B, 
A,receive,ID_B,K_AS
A,receive,N_A,K_AS
A,decrypt,ID_B,K_AS
A,decrypt,N_A,K_AS
A,hash,ID_A, 
A,hash,K_BS, 
A,hash,N_B, 
A,send,ID_A, 
A,send,K_BS, 
A,send,N_B, 
B,receive,ID_A, 
B,receive,K_BS, 
B,receive,N_B, 
