pp,ap,mp,kp
A,encrypt,a^x,Pub_B
A,send,a^x,Pub_B
B,receive,a^x,Pub_B
B,decrypt,a^x,Pri_B
B,encrypt,a^y,Pub_A
B,hash,ID_A,hK_AB
B,hash,ID_B,hK_AB
B,hash,a^x,hK_AB
B,hash,a^y,hK_AB
B,send,a^y,Pub_A
B,send,ID_A,hK_AB
B,send,ID_B,hK_AB
B,send,a^x,hK_AB
B,send,a^y,hK_AB
A,receive,a^y,Pub_A
A,receive,ID_A,hK_AB
A,receive,ID_B,hK_AB
A,receive,a^x,hK_AB
A,receive,a^y,hK_AB
A,decrypt,a^y,Pri_A
A,decrypt,ID_A,hK_AB
A,decrypt,ID_B,hK_AB
A,decrypt,a^x,hK_AB
A,decrypt,a^y,hK_AB
A,hash,ID_A,hK_AB
A,hash,ID_B,hK_AB
A,hash,a^x,hK_AB
A,hash,a^y,hK_AB
A,send,ID_A,hK_AB
A,send,ID_B,hK_AB
A,send,a^x,hK_AB
A,send,a^y,hK_AB
B,receive,ID_A,hK_AB
B,receive,ID_B,hK_AB
B,receive,a^x,hK_AB
B,receive,a^y,hK_AB
B,decrypt,ID_A,hK_AB
B,decrypt,ID_B,hK_AB
B,decrypt,a^x,hK_AB
B,decrypt,a^y,hK_AB
