pp,ap,mp,kp1,kp2
1,11,124,0,0
1,12,124,141,0
1,11,127,0,0
1,18,111,0,0
1,18,133,137,0
1,18,124,137,0
1,18,124,141,137
1,18,127,0,0
2,19,111,0,0
2,19,133,137,0
2,19,124,137,0
2,19,124,141,137
2,19,127,0,0
2,12,133,137,0
2,12,124,137,0
2,12,124,137,0
2,12,134,137,0
2,11,125,0,0
2,12,125,137,0
2,12,125,142,0
2,12,125,137,0
2,11,128,0,0
2,18,111,0,0
2,18,112,0,0
2,18,133,137,0
2,18,124,137,0
2,18,124,141,137
2,18,134,137,0
2,18,125,137,0
2,18,125,142,137
2,18,128,0,0
3,19,111,0,0
3,19,112,0,0
3,19,133,137,0
3,19,124,137,0
3,19,124,141,137
3,19,134,137,0
3,19,125,137,0
3,19,125,142,137
3,19,128,0,0
3,13,133,140,0
3,13,124,140,0
3,13,124,140,0
3,13,134,140,0
3,13,125,140,0
3,13,125,140,0
3,12,131,134,0
3,12,125,134,0
3,18,131,134,0
3,18,125,134,0
2,19,131,134,0
2,19,125,134,0
2,13,131,134,0
2,13,125,134,0
3,12,131,133,0
3,12,124,133,0
3,18,131,133,0
3,18,124,133,0
3,18,128,0,0
1,19,131,133,0
1,19,124,133,0
1,19,128,0,0
1,13,131,133,0
1,13,124,133,0
2,12,127,131,0
2,18,127,131,0
1,19,127,131,0
1,13,127,131,0
1,12,128,131,0
1,18,128,131,0
2,19,128,131,0
2,13,128,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
