pp,ap,mp,kp1,kp2
1,18,111,0,0
1,18,133,137,0
1,18,154,137,0
1,18,141,137,0
2,19,111,0,0
2,19,133,137,0
2,19,154,137,0
2,19,141,137,0
2,12,133,137,0
2,12,154,137,0
2,12,141,137,0
2,12,134,137,0
2,12,155,137,0
2,12,142,137,0
2,18,111,0,0
2,18,133,137,0
2,18,154,137,0
2,18,141,137,0
2,18,134,137,0
2,18,155,137,0
2,18,142,137,0
3,19,111,0,0
3,19,133,137,0
3,19,154,137,0
3,19,141,137,0
3,19,134,137,0
3,19,155,137,0
3,19,142,137,0
3,13,133,140,0
3,13,154,140,0
3,13,141,140,0
3,13,134,140,0
3,13,155,140,0
3,13,142,140,0
3,12,112,133,0
3,12,155,133,0
3,12,111,134,0
3,12,154,134,0
3,18,112,133,0
3,18,155,133,0
3,18,111,134,0
3,18,154,134,0
2,19,112,133,0
2,19,155,133,0
2,19,111,134,0
2,19,154,134,0
2,13,111,134,0
2,13,154,134,0
2,12,112,133,0
2,12,155,133,0
2,16,111,0,0
2,12,111,131,0
2,16,133,0,0
2,12,133,131,0
2,16,154,0,0
2,12,154,131,0
2,16,141,0,0
2,12,141,131,0
2,18,112,133,0
2,18,155,133,0
2,18,111,131,0
2,18,133,137,131
2,18,154,137,131
2,18,141,137,131
1,19,112,133,0
1,19,155,133,0
1,19,111,131,0
1,19,133,137,131
1,19,154,137,131
1,19,141,137,131
1,13,112,133,0
1,13,155,133,0
1,13,111,131,0
1,13,133,131,0
1,13,154,131,0
1,13,141,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
