pp,ap,mp,kp1,kp2
1,11,124,0,0
1,18,111,0,0
1,18,124,0,0
1,18,135,0,0
2,19,111,0,0
2,19,124,0,0
2,19,135,0,0
2,11,125,0,0
2,11,128,0,0
2,12,128,135,0
2,16,135,0,0
2,12,135,135,0
2,16,124,0,0
2,12,124,135,0
2,16,125,0,0
2,12,125,135,0
2,16,111,0,0
2,12,111,135,0
2,16,112,0,0
2,12,112,135,0
2,12,154,142,0
2,16,154,0,0
2,12,154,135,0
2,18,125,0,0
2,18,128,135,0
2,18,135,135,0
2,18,124,135,0
2,18,125,135,0
2,18,111,135,0
2,18,112,135,0
2,18,154,142,135
1,19,125,0,0
1,19,128,135,0
1,19,135,135,0
1,19,124,135,0
1,19,125,135,0
1,19,111,135,0
1,19,112,135,0
1,19,154,142,135
1,13,128,138,0
1,13,135,138,0
1,13,124,138,0
1,13,125,138,0
1,13,111,138,0
1,13,112,138,0
1,13,154,138,0
1,16,135,0,0
1,16,124,0,0
1,16,125,0,0
1,16,111,0,0
1,16,112,0,0
1,16,155,0,0
1,12,135,135,0
1,16,135,0,0
1,12,124,135,0
1,16,124,0,0
1,12,125,135,0
1,16,125,0,0
1,12,111,135,0
1,16,111,0,0
1,12,112,135,0
1,16,112,0,0
1,12,154,142,0
1,12,154,135,0
1,16,154,0,0
1,16,128,0,0
1,18,155,0,0
1,18,135,0,0
1,18,124,0,0
1,18,125,0,0
1,18,111,0,0
1,18,112,0,0
1,18,155,0,0
1,18,135,135,0
1,18,124,135,0
1,18,125,135,0
1,18,111,135,0
1,18,112,135,0
1,18,154,142,135
1,18,128,0,0
2,19,155,0,0
2,19,135,0,0
2,19,124,0,0
2,19,125,0,0
2,19,111,0,0
2,19,112,0,0
2,19,155,0,0
2,19,135,135,0
2,19,124,135,0
2,19,125,135,0
2,19,111,135,0
2,19,112,135,0
2,19,154,142,135
2,19,128,0,0
2,12,135,131,0
2,12,124,131,0
2,12,125,131,0
2,12,111,131,0
2,12,112,131,0
2,12,131,131,0
2,12,128,131,0
2,18,135,131,0
2,18,124,131,0
2,18,125,131,0
2,18,111,131,0
2,18,112,131,0
2,18,131,131,0
2,18,128,131,0
1,19,135,131,0
1,19,124,131,0
1,19,125,131,0
1,19,111,131,0
1,19,112,131,0
1,19,131,131,0
1,19,128,131,0
1,13,135,131,0
1,13,124,131,0
1,13,125,131,0
1,13,111,131,0
1,13,112,131,0
1,13,131,131,0
1,13,128,131,0
1,12,135,131,0
1,12,124,131,0
1,12,128,131,0
1,12,111,131,0
1,12,112,131,0
1,12,131,131,0
1,18,135,131,0
1,18,124,131,0
1,18,128,131,0
1,18,111,131,0
1,18,112,131,0
1,18,131,131,0
2,19,135,131,0
2,19,124,131,0
2,19,128,131,0
2,19,111,131,0
2,19,112,131,0
2,19,131,131,0
2,13,135,131,0
2,13,124,131,0
2,13,128,131,0
2,13,111,131,0
2,13,112,131,0
2,13,131,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
